Time (UTC),Forecasted Load,Actual Load
2024-01-02 15:30:00+00:00,60249.23,61712.37
2024-01-02 15:45:00+00:00,60466.41,62164.08
2024-01-02 16:00:00+00:00,61158.97,62869.46
2024-01-02 16:15:00+00:00,61881.8,63139.48
2024-01-02 16:30:00+00:00,61641.44,63581.65
2024-01-02 16:45:00+00:00,62257.4,63917.43
2024-01-02 17:00:00+00:00,62436.4,63482.27
2024-01-02 17:15:00+00:00,62457.13,62988.95
2024-01-02 17:30:00+00:00,62461.53,63034.21
2024-01-02 17:45:00+00:00,62083.44,62783.38
2024-01-02 18:00:00+00:00,61935.36,62154.36
2024-01-02 18:15:00+00:00,61307.71,61304.49
2024-01-02 18:30:00+00:00,60843.27,60870.12
2024-01-02 18:45:00+00:00,60646.91,60530.93
2024-01-02 19:00:00+00:00,59586.11,59484.43
2024-01-02 19:15:00+00:00,58276.97,58329.18
2024-01-02 19:30:00+00:00,57497.37,57674.87
2024-01-02 19:45:00+00:00,56384.7,56886.47
2024-01-02 20:00:00+00:00,55424.74,56050.1
2024-01-02 20:15:00+00:00,54550.0,55161.73
2024-01-02 20:30:00+00:00,53652.53,54275.37
2024-01-02 20:45:00+00:00,52851.88,53623.8
2024-01-02 21:00:00+00:00,52117.65,53405.62
2024-01-02 21:15:00+00:00,51446.66,52316.48
2024-01-02 21:30:00+00:00,50736.59,51483.52
2024-01-02 21:45:00+00:00,49737.27,50818.71
2024-01-02 22:00:00+00:00,48366.44,50269.49
2024-01-02 22:15:00+00:00,47592.32,49156.32
2024-01-02 22:30:00+00:00,47106.41,48652.36
2024-01-02 22:45:00+00:00,46623.01,48192.52
2024-01-02 23:00:00+00:00,45886.43,47164.94
2024-01-02 23:15:00+00:00,45134.2,46111.62
2024-01-02 23:30:00+00:00,44581.24,46007.32
2024-01-02 23:45:00+00:00,44016.01,45265.79
2024-01-03 00:00:00+00:00,43522.34,44813.3
2024-01-03 00:15:00+00:00,43227.27,44528.87
2024-01-03 00:30:00+00:00,42843.22,44182.14
2024-01-03 00:45:00+00:00,42669.96,43817.05
2024-01-03 01:00:00+00:00,42448.55,43475.73
2024-01-03 01:15:00+00:00,41946.87,43062.14
2024-01-03 01:30:00+00:00,41991.67,43159.21
2024-01-03 01:45:00+00:00,42220.77,43482.15
2024-01-03 02:00:00+00:00,42518.81,43679.67
2024-01-03 02:15:00+00:00,42471.64,43460.78
